Date,Open,Close,High,Low,Volume €
06/11/20,12531.74,12480.02,12595.87,12370.08,3544392359
05/11/20,12420.88,12568.09,12591.3,12398.59,4181369637
04/11/20,11896.11,12324.22,12329.96,11848.21,4698799863
03/11/20,11858.81,12088.98,12088.98,11851.03,3723910428
02/11/20,11602.91,11788.28,11838,11551.36,3407278769
30/10/20,11472.61,11556.48,11614.13,11450.08,3818383500
29/10/20,11631.07,11598.07,11707.43,11458.56,4492894315
28/10/20,11848.31,11560.51,11852.02,11457.12,6123283387
27/10/20,12206.42,12063.57,12223.6,12034.8,4458787791
26/10/20,12303.41,12177.18,12404.51,12174.22,4630467745
23/10/20,12517.98,12645.75,12718.27,12514.99,2513683335
22/10/20,12429.41,12543.06,12583.02,12345.45,2909118130
21/10/20,12764.45,12557.64,12765.05,12545.59,2867053671
20/10/20,12819.15,12736.95,12850.29,12725.45,2614014935
19/10/20,12948.63,12854.66,13028.73,12820.26,2195226565
16/10/20,12773.35,12908.99,12955.86,12733.06,3538289071
15/10/20,12826.13,12703.75,12839.55,12599.82,3642669763
14/10/20,13012.69,13028.06,13066.44,12975.12,2350438318
13/10/20,13132.9,13018.99,13132.9,12959.7,2385315762
12/10/20,13086.06,13138.41,13151.8,13058.34,2240694228
09/10/20,13070.04,13051.23,13096.44,13009.98,2765980235
08/10/20,13011.23,13042.21,13100.85,12956.64,2915079264
07/10/20,12901.29,12928.57,12959.02,12837.11,2936224798
06/10/20,12858.97,12906.02,12966.09,12779.65,2559399816
05/10/20,12824.05,12828.31,12842.48,12727.75,2494159745
02/10/20,12558.78,12689.04,12690.25,12539.86,3036345323
01/10/20,12812.08,12730.77,12836.65,12671.23,3974397159
30/09/20,12754.77,12760.73,12869.96,12698.42,3148049138
29/09/20,12817.79,12825.82,12859.14,12738.3,2352748248
28/09/20,12673.73,12870.87,12873.4,12660.15,4469395830
25/09/20,12615.91,12469.2,12622.77,12341.58,3148879034
24/09/20,12520.47,12606.57,12684.8,12512.5,2849318596
23/09/20,12737.32,12642.97,12830.7,12642.97,2884681838
22/09/20,12629.71,12594.39,12698.12,12592.97,3187859717
21/09/20,12998.9,12542.44,12998.9,12505.16,5027602443
18/09/20,13210.86,13116.25,13263.44,13116.25,9407779153
17/09/20,13060.18,13208.12,13245.87,13035.94,2692789829
16/09/20,13224.16,13255.37,13277.23,13181.56,2929505633
15/09/20,13220.81,13217.67,13262.81,13138.2,2682977643
14/09/20,13329.61,13193.66,13339.14,13159.72,2156252075
11/09/20,13198.74,13202.84,13255.47,13117.46,2697607253
10/09/20,13265.51,13208.89,13297.71,13161.93,2754412812
09/09/20,12990.52,13237.21,13257.54,12973.46,3252729506
08/09/20,13126.23,12968.33,13147.52,12856.55,3409959458
07/09/20,12931.4,13100.28,13117.61,12920.92,2477308493
04/09/20,12916.12,12842.66,13127.08,12753.69,4126500597
03/09/20,13354.72,13057.77,13460.46,13004.83,3856493734
02/09/20,13071.66,13243.43,13303.17,13062.17,3609288543
01/09/20,13037.2,12974.25,13127.28,12850.3,2877444993
31/08/20,13103.93,12945.38,13148.19,12923.76,2966260637
28/08/20,13140.6,13033.2,13147.24,12951.26,2793409385
27/08/20,13206.58,13096.36,13218.05,13087.37,2515405040
26/08/20,13041.83,13190.15,13192.32,13010.53,2110583365
25/08/20,13136.77,13061.62,13221.82,13060.87,2665141957
24/08/20,12945.97,13066.54,13104.31,12924.7,2885757184
21/08/20,12879.45,12764.8,12911.27,12633.71,3119694180
20/08/20,12829.39,12830,12891.14,12755.52,2324862149
19/08/20,12838.63,12977.33,12980.7,12833.8,2221352708
18/08/20,12836.87,12881.76,13052.84,12807,2295605155
17/08/20,12924.88,12920.66,12960.84,12847.85,1707984403
14/08/20,12965.22,12901.34,12971.08,12797.52,2158306131
13/08/20,13044.47,12993.71,13075.25,12956.3,2261408644
12/08/20,12917.34,13058.63,13101.12,12879.11,2686137414
11/08/20,12806.97,12946.89,13046.13,12802.06,3648839676
10/08/20,12729.1,12687.53,12753.12,12605.82,2175611171
07/08/20,12634.79,12674.88,12691.66,12517.44,2655162038
06/08/20,12664.55,12591.68,12799.21,12519.85,3460325878
05/08/20,12667.12,12660.25,12757.03,12632.99,3105667041
04/08/20,12744.13,12600.87,12768.58,12528.07,2969555708
03/08/20,12374.46,12646.98,12698.56,12365.61,3331281547
31/07/20,12403.1,12313.36,12524.75,12313.36,3562766408
30/07/20,12762.12,12379.65,12768.71,12253.92,4435373745
29/07/20,12819.63,12822.26,12864.39,12789.97,2664561143
28/07/20,12886.23,12835.28,12936.01,12746.46,2465755322
27/07/20,12865.75,12838.66,12908.66,12811.44,2348130282
24/07/20,12919.31,12838.06,12935.5,12812.02,2743382117
23/07/20,13183.5,13103.39,13217.73,13072.82,3151823910
22/07/20,13165.29,13104.25,13197.92,13067.06,2910174788
21/07/20,13194.93,13171.83,13313.9,13147.3,3587382420
20/07/20,12898.11,13046.92,13063.69,12811.72,2611348111
17/07/20,12915.27,12919.61,12954.25,12870.27,3404131105
16/07/20,12857.3,12874.97,12919.23,12805.47,3040673519
15/07/20,12812.11,12930.98,12999.84,12773.44,3659155518
14/07/20,12642.23,12697.36,12697.91,12535.9,3246138704
13/07/20,12817.19,12799.97,12836.41,12688.94,2833246084
10/07/20,12442.22,12633.71,12649.99,12416.69,3019460338
09/07/20,12639.17,12489.46,12709.68,12459.16,3244944170
08/07/20,12542.58,12494.81,12670.19,12463.22,2982893347
07/07/20,12660.09,12616.8,12661.12,12525.18,2827381282
06/07/20,12774.77,12733.45,12842.59,12655.21,2918378464
03/07/20,12644.6,12528.18,12649.98,12476.13,2109046617
02/07/20,12378.8,12608.46,12658.17,12370.72,3919659440
01/07/20,12391.72,12266.89,12391.72,12095.11,3039046420
30/06/20,12287.94,12310.93,12350.35,12188.09,3775502404
29/06/20,12090.41,12232.12,12297.68,12045.26,3726548242
26/06/20,12308.48,12089.39,12347.45,12060.89,3262164157
25/06/20,12102.25,12177.87,12236.46,11957.31,3970670508
24/06/20,12459.81,12093.94,12489.24,12093.94,3983596348
23/06/20,12360.09,12523.76,12616.12,12332.1,4637879299
22/06/20,12194.48,12262.97,12399.37,12172.12,3436633098
